Date,Close
10/12/2015 16:00:00,51.91
10/13/2015 16:00:00,51.58
10/14/2015 16:00:00,51.54
10/15/2015 16:00:00,52.52
10/16/2015 16:00:00,53.81
10/19/2015 16:00:00,53.26
10/20/2015 16:00:00,52.93
10/21/2015 16:00:00,52
10/22/2015 16:00:00,52.33
10/23/2015 16:00:00,48.49
10/26/2015 16:00:00,48.3
10/27/2015 16:00:00,48.28
10/28/2015 16:00:00,49.24
10/29/2015 16:00:00,48.79
10/30/2015 16:00:00,49.17
11/2/2015 16:00:00,51.08
11/3/2015 16:00:00,52.09
11/4/2015 16:00:00,51.68
11/5/2015 16:00:00,52.08
11/6/2015 16:00:00,51.06
11/9/2015 16:00:00,50.17
11/10/2015 16:00:00,50.08
11/11/2015 16:00:00,47.57
11/12/2015 16:00:00,48.16
11/13/2015 16:00:00,45.05
11/16/2015 16:00:00,45.24
11/17/2015 16:00:00,44.09
11/18/2015 16:00:00,45.69
11/19/2015 16:00:00,47.33
11/20/2015 16:00:00,49.28
11/23/2015 16:00:00,52.77
11/24/2015 16:00:00,52.73
11/25/2015 16:00:00,52.95
11/27/2015 16:00:00,52.5
11/30/2015 16:00:00,47.82
12/1/2015 16:00:00,49.05
12/2/2015 16:00:00,49
12/3/2015 16:00:00,49.12
12/4/2015 16:00:00,49.18
12/7/2015 16:00:00,51.79
12/8/2015 16:00:00,52.16
12/9/2015 16:00:00,45.32
12/10/2015 16:00:00,45.95
12/11/2015 16:00:00,46.12
12/14/2015 16:00:00,47.79
12/15/2015 16:00:00,49.26
12/16/2015 16:00:00,49.97
12/17/2015 16:00:00,50
12/18/2015 16:00:00,50.26
12/21/2015 16:00:00,51.9
12/22/2015 16:00:00,53.15
12/23/2015 16:00:00,52.89
12/24/2015 16:00:00,53.19
12/28/2015 16:00:00,53.17
12/29/2015 16:00:00,52.37
12/30/2015 16:00:00,51.59
12/31/2015 16:00:00,52.47
1/4/2016 16:00:00,55.86
1/5/2016 16:00:00,55.59
1/6/2016 16:00:00,54.91
1/7/2016 16:00:00,54.79
1/8/2016 16:00:00,53.91
1/11/2016 16:00:00,54.73
1/12/2016 16:00:00,56.82
1/13/2016 16:00:00,55.97
1/14/2016 16:00:00,56.63
1/15/2016 16:00:00,55.71
1/19/2016 16:00:00,56.74
1/20/2016 16:00:00,55.95
1/21/2016 16:00:00,57.09
1/22/2016 16:00:00,58.03
1/25/2016 16:00:00,57.63
1/26/2016 16:00:00,58.59
1/27/2016 16:00:00,58.81
1/28/2016 16:00:00,59.6
1/29/2016 16:00:00,62.07
2/1/2016 16:00:00,60.82
2/2/2016 16:00:00,62.01
2/3/2016 16:00:00,63.02
2/4/2016 16:00:00,62.63
2/5/2016 16:00:00,60.75
2/8/2016 16:00:00,57.96
2/9/2016 16:00:00,56.88
2/10/2016 16:00:00,57.68
2/11/2016 16:00:00,57.22
2/12/2016 16:00:00,58.84
2/16/2016 16:00:00,59.8
2/17/2016 16:00:00,60.51
2/18/2016 16:00:00,60.66
2/19/2016 16:00:00,60.76
2/22/2016 16:00:00,60.5
2/23/2016 16:00:00,60.63
2/24/2016 16:00:00,60.81
2/25/2016 16:00:00,61.35
2/26/2016 16:00:00,61.56
2/29/2016 16:00:00,62.73
3/1/2016 16:00:00,62.74
3/2/2016 16:00:00,62.79
3/3/2016 16:00:00,61.78
3/4/2016 16:00:00,61.22
3/7/2016 16:00:00,62
3/8/2016 16:00:00,62.22
3/9/2016 16:00:00,62.13
3/10/2016 16:00:00,63.23
3/11/2016 16:00:00,64.42
3/14/2016 16:00:00,64.73
3/15/2016 16:00:00,62.98
3/16/2016 16:00:00,62.28
3/17/2016 16:00:00,62.8
3/18/2016 16:00:00,62.51
3/21/2016 16:00:00,60.21
3/22/2016 16:00:00,60.33
3/23/2016 16:00:00,60.07
3/24/2016 16:00:00,60.89
3/28/2016 16:00:00,60.52
3/29/2016 16:00:00,61.24
3/30/2016 16:00:00,67.8
3/31/2016 16:00:00,67.71
4/1/2016 16:00:00,68.69
4/4/2016 16:00:00,67.6
4/5/2016 16:00:00,66.73
4/6/2016 16:00:00,65.74
4/7/2016 16:00:00,64.99
4/8/2016 16:00:00,63.75
4/11/2016 16:00:00,61.23
4/12/2016 16:00:00,61.91
4/13/2016 16:00:00,63.25
4/14/2016 16:00:00,64.2
4/15/2016 16:00:00,64.8
4/18/2016 16:00:00,65.48
4/19/2016 16:00:00,66.48
4/20/2016 16:00:00,67.13
4/21/2016 16:00:00,66.51
4/22/2016 16:00:00,66.24
4/25/2016 16:00:00,66
4/26/2016 16:00:00,66.45
4/27/2016 16:00:00,65.64
4/28/2016 16:00:00,65.57
4/29/2016 16:00:00,65.55
5/2/2016 16:00:00,66.72
5/3/2016 16:00:00,65.54
5/4/2016 16:00:00,65.2
5/5/2016 16:00:00,63.41
5/6/2016 16:00:00,62.81
5/9/2016 16:00:00,64.03
5/10/2016 16:00:00,64.21
5/11/2016 16:00:00,61.99
5/12/2016 16:00:00,61.62
5/13/2016 16:00:00,61.58
5/16/2016 16:00:00,60.76
5/17/2016 16:00:00,60.9
5/18/2016 16:00:00,60.07
5/19/2016 16:00:00,61.1
5/20/2016 16:00:00,62.49
5/23/2016 16:00:00,61.94
5/24/2016 16:00:00,63.16
5/25/2016 16:00:00,63.15
5/26/2016 16:00:00,63.14
5/27/2016 16:00:00,64.69
5/31/2016 16:00:00,65.03
6/1/2016 16:00:00,66.17
6/2/2016 16:00:00,67.13
6/3/2016 16:00:00,67.24
6/6/2016 16:00:00,68.75
6/7/2016 16:00:00,68.14
6/8/2016 16:00:00,71.48
6/9/2016 16:00:00,72.32
6/10/2016 16:00:00,70.54
6/13/2016 16:00:00,70.21
6/14/2016 16:00:00,70.38
6/15/2016 16:00:00,70.73
6/16/2016 16:00:00,71.79
6/17/2016 16:00:00,71.71
6/20/2016 16:00:00,71.78
6/21/2016 16:00:00,71.88
6/22/2016 16:00:00,71.36
6/23/2016 16:00:00,71.82
6/24/2016 16:00:00,69.62
6/27/2016 16:00:00,69
6/28/2016 16:00:00,69.87
6/29/2016 16:00:00,71.65
6/30/2016 16:00:00,73.86
7/1/2016 16:00:00,73.96
7/5/2016 16:00:00,73.28
7/6/2016 16:00:00,74.41
7/7/2016 16:00:00,75.2
7/8/2016 16:00:00,76.72
7/11/2016 16:00:00,76.49
